goal,gender,age,height_cm,weight_kg,bmi,diet_type,activity_level,equipment,frequency,region,persona
lose_weight,Male,61,179.2,93.3,29.1,standard,sedentary,full_gym,4,western,6
lose_weight,Male,62,170.2,79.6,27.5,standard,light,dumbbells,4,indian,6
build_muscle,Female,22,154.6,42.5,17.8,jain,light,dumbbells,4,indian,1
build_muscle,Female,24,156.8,54.8,22.3,vegetarian,sedentary,dumbbells,3,global,1
build_muscle,Male,41,175.7,44.6,14.4,standard,very_active,full_gym,6,global,4
build_muscle,Female,58,160.2,54.7,21.3,standard,active,dumbbells,3,indian,1
lose_weight,Male,49,168.6,80.6,28.4,jain,active,full_gym,5,indian,6
lose_weight,Male,21,176.7,85.7,27.4,standard,light,dumbbells,5,indian,6
stay_active,Female,33,163.5,50.9,19.0,vegetarian,active,dumbbells,4,indian,8
lose_weight,Male,21,174.7,67.8,22.2,vegetarian,very_active,no_equipment,4,western,0
improve_stamina,Male,19,167.5,65.0,23.2,jain,moderate,full_gym,5,indian,0
lose_weight,Female,35,156.1,54.4,22.3,vegetarian,active,full_gym,3,indian,0
improve_stamina,Male,25,171.3,60.8,20.7,standard,moderate,full_gym,4,global,0
lose_weight,Other,26,150.7,64.7,28.5,standard,moderate,dumbbells,3,indian,6
improve_stamina,Female,26,160.8,45.1,17.4,standard,moderate,full_gym,3,western,0
lose_weight,Male,39,178.7,102.7,32.2,eggetarian,light,no_equipment,3,indian,6
build_muscle,Female,16,150.1,58.8,26.1,standard,moderate,dumbbells,6,indian,1
stay_active,Male,21,180.5,54.8,16.8,vegetarian,moderate,no_equipment,3,global,0
stay_active,Female,39,152.3,43.5,18.8,eggetarian,active,full_gym,4,indian,0
lose_weight,Male,57,176.3,62.0,19.9,standard,moderate,full_gym,5,indian,0
build_muscle,Female,26,169.1,49.0,17.1,eggetarian,moderate,dumbbells,3,indian,1
improve_stamina,Male,26,173.4,76.8,25.5,vegetarian,active,dumbbells,4,indian,0
improve_stamina,Male,43,165.4,78.8,28.8,eggetarian,very_active,dumbbells,3,global,7
improve_stamina,Male,62,167.2,50.8,18.2,standard,light,dumbbells,6,western,7
improve_stamina,Female,20,161.4,45.4,17.4,vegan,moderate,full_gym,4,indian,0
stay_active,Female,50,164.6,100.4,37.1,vegetarian,active,full_gym,5,indian,7
build_muscle,Male,20,170.1,73.1,25.3,vegetarian,light,dumbbells,3,indian,1
stay_active,Female,29,161.4,46.1,17.7,standard,moderate,no_equipment,3,indian,8
stay_active,Female,39,146.8,60.1,27.9,standard,moderate,no_equipment,3,global,8
lose_weight,Female,42,152.6,54.3,23.3,standard,moderate,full_gym,5,indian,0
build_muscle,Other,44,187.1,77.4,22.1,standard,light,full_gym,3,indian,2
build_muscle,Male,17,177.6,82.8,26.3,standard,moderate,dumbbells,3,indian,1
build_muscle,Male,38,170.5,73.8,25.4,vegetarian,moderate,full_gym,5,indian,2
improve_stamina,Male,40,174.6,66.6,21.8,vegetarian,light,dumbbells,4,indian,7
lose_weight,Female,30,163.0,51.2,19.3,standard,active,no_equipment,5,indian,8
stay_active,Male,42,181.2,76.3,23.2,jain,light,no_equipment,5,western,7
lose_weight,Other,31,179.5,57.9,18.0,eggetarian,active,dumbbells,5,western,1
lose_weight,Male,57,184.4,72.3,21.3,eggetarian,light,no_equipment,6,indian,0
